לָעָזוב או לא לָעָזוב,To leave or not to leave
נִמאָס לִי אָנִי עוזֶב אֶת הָאָרֶץ,I am fed up, I am leaving the country
כָּל חודשָיים אָתָה מָחלִיט לָעָבור יָבֶּשֶת,Every two months you decide to move to another continent
בָּפָּעָם הָקודֶמֶת זֶה הָיָה ניוּ זִילָנד,Last time it was New Zealand
אֶירופָּה מסוּדֶרֶת אָבָל גָם שָם לא הָכּול וָרוד,Europe is orderly, but even there not everything is rosy
אָתָה תִתגָעגֶעָ לפָלָאפֶל יִשׂראֶלִי אָחָרֶי יומָיים,You will miss Israeli falafel after two days
לפָחות הָשׂכִירוּת לא קורָעָת אֶת הָכִּיס,At least the rent does not ruin your wallet
אָנָשִים לא עוקפִים בָּתור,People do not cut in line
אֶיך תִסתָדֶר בּלִי זֶה,How will you manage without it
זו אוּמָנוּת יִשׂרָאֶלִית מָסורָתִית,It is a traditional Israeli art
בָּחורֶף אָתָה מָרגִיש כּמו תָפּוּחָ אָדָמָה בָּמָרתֶף,In winter you feel like a potato in the cellar
אָנִי כָּל הָזמָן רודֶף אָחָרֶי הָזָנָב שֶל עָצמִי,I am always chasing my own tail
גָם אָנִי חָשָבתִי כָּכָה כּשֶגָרתִי בּיִשׂרָאֶל,I thought that too when I lived in Israel
אָחָרֶי כָּמָה זמָן בּחוּ״ל מָתחִילִים להִתגָעגֶעָ,After some time abroad, you start to miss home
אָנָשִים מִתעָרבִים לךָ בָּחָיים וזֶה יָכול להָצִיק,People interfere in your life and that can be annoying
תָחשוב עָל הָילָדִים שֶיִהיוּ לךָ,Think about the children you will have
אֶיזֶה עָתִיד יֶש לָהֶם בּיִשׂרָאֶל עִם הָמִלחָמות,What future do they have in Israel with these wars
עָתִיד טוב או לא טוב יָכול לִהיות בּכָל מָקום,A good or bad future can exist anywhere
הֶם יִגדֶלוּ עִם עִברִית,They will grow up with Hebrew
סָבתָא שֶמכִינָה אוכֶל בֶּיתִי אָמיתי,A grandmother who makes real homemade food
