אֲנִי לֹא מֵבִין,nie rozumiem
זֶה לֹא עוֹבֵד,to nie działa
אֵין לִי זְמָן,nie mam czasu
אֲנִי צָרִיךְ עֶזְרָה,potrzebuję pomocy
אֵיפֹה זֶה נִמְצָא,gdzie to jest
כַּמָּה זֶה עוֹלֶה,ile to kosztuje
אֲנִי מַסְכִּים,zgadzam się
אֲנִי לֹא מַסְכִּים,nie zgadzam się
זֶה חָשׁוּב לִי,to jest dla mnie ważne
אֵין בְּעָיָה,nie ma problemu
אֲנִי עָיֵף,jestem zmęczony
אֲנִי רָעֵב,jestem głodny
אֲנִי צָמֵא,chce mi się pić
אֲנִי מְמַהֵר,spieszę się
אֲנִי מְאַחֵר,spóźniam się
אֲנִי מֻקְדָּם,jestem wcześnie
זֶה בָּרוּר לִי,to jest dla mnie jasne
אֲנִי לֹא זוֹכֵר,nie pamiętam
אֲנִי מְחַכֶּה לְךָ,czekam na ciebie
אֲנִי חוֹזֵר מָחָר,wrócę jutro
אֲנִי צָרִיךְ לַחְשׁוֹב,muszę się zastanowić
תֵּן לִי רֶגַע,daj mi chwilę
אֶפְשָׁר לַעֲזוֹר לְךָ,czy mogę ci pomóc
תַּסְבִּיר שׁוּב,wyjaśnij jeszcze raz
זֶה בְּסֵדֶר,w porządku
אֲנִי מֵבִין עַכְשָׁיו,teraz rozumiem
אֵין לִי מוּשָׂג,nie mam pojęcia
אֲנִי לֹא בָּטוּחַ,nie jestem pewien
זֶה תָּלוּי,to zależy
בּוֹא נַתְחִיל,zacznijmy
נְסַיֵּם אַחַר כָּךְ,skończymy później
